type,product_id,name,ram,storage,price,stock,description,evaluate,color,image
iPhone,IP11-64-B,iPhone 11 64GB,4GB,64GB,8990000,instock,"Vi xử lý: Chip Apple A13 Bionic với Neural Engine thế hệ thứ 3, mang lại hiệu năng cực kỳ mạnh mẽ, vẫn xử lý mượt mà mọi tác vụ và game nặng. 
Màn hình: Công nghệ Liquid Retina HD (IPS LCD) 6.1 inch, độ phân giải 1792x828 pixels, hỗ trợ True Tone, dải màu rộng (P3). 
Camera: Hệ thống camera kép 12MP gồm camera Góc rộng và Siêu rộng. Có chế độ Ban đêm (Night Mode), Deep Fusion. Quay video 4K ở 60fps. 
Camera trước: TrueDepth 12MP, hỗ trợ Chế độ chân dung và quay video 4K. 
Pin & Sạc: Pin Li-Ion thời lượng sử dụng rất tốt. Hỗ trợ sạc nhanh 18W và sạc không dây Qi. 
Thiết kế & Bền bỉ: Khung nhôm và mặt lưng kính bóng. Kháng nước, bụi chuẩn IP68 (sâu 2 mét trong 30 phút).","Mẫu iPhone ""quốc dân"" một thời. Hiệu năng vẫn rất mạnh, camera kép chất lượng với chế độ chụp đêm xuất sắc. Pin cực trâu. Điểm trừ là viền màn hình hơi dày và vẫn dùng tấm nền LCD.",Đen,https://shopdunk.com/images/thumbs/0012169_black.jpeg
iPhone,IP11-64-W,iPhone 11 64GB,4GB,64GB,8990000,instock,"Vi xử lý: Chip Apple A13 Bionic với Neural Engine thế hệ thứ 3, mang lại hiệu năng cực kỳ mạnh mẽ, vẫn xử lý mượt mà mọi tác vụ và game nặng. 
Màn hình: Công nghệ Liquid Retina HD (IPS LCD) 6.1 inch, độ phân giải 1792x828 pixels, hỗ trợ True Tone, dải màu rộng (P3). 
Camera: Hệ thống camera kép 12MP gồm camera Góc rộng và Siêu rộng. Có chế độ Ban đêm (Night Mode), Deep Fusion. Quay video 4K ở 60fps. 
Camera trước: TrueDepth 12MP, hỗ trợ Chế độ chân dung và quay video 4K. 
Pin & Sạc: Pin Li-Ion thời lượng sử dụng rất tốt. Hỗ trợ sạc nhanh 18W và sạc không dây Qi. 
Thiết kế & Bền bỉ: Khung nhôm và mặt lưng kính bóng. Kháng nước, bụi chuẩn IP68 (sâu 2 mét trong 30 phút).","Mẫu iPhone ""quốc dân"" một thời. Hiệu năng vẫn rất mạnh, camera kép chất lượng với chế độ chụp đêm xuất sắc. Pin cực trâu. Điểm trừ là viền màn hình hơi dày và vẫn dùng tấm nền LCD.",Trắng,https://shopdunk.com/images/thumbs/0012174_white.webp
iPhone,IP11-64-P,iPhone 11 64GB,4GB,64GB,8990000,instock,"Vi xử lý: Chip Apple A13 Bionic với Neural Engine thế hệ thứ 3, mang lại hiệu năng cực kỳ mạnh mẽ, vẫn xử lý mượt mà mọi tác vụ và game nặng. 
Màn hình: Công nghệ Liquid Retina HD (IPS LCD) 6.1 inch, độ phân giải 1792x828 pixels, hỗ trợ True Tone, dải màu rộng (P3). 
Camera: Hệ thống camera kép 12MP gồm camera Góc rộng và Siêu rộng. Có chế độ Ban đêm (Night Mode), Deep Fusion. Quay video 4K ở 60fps. 
Camera trước: TrueDepth 12MP, hỗ trợ Chế độ chân dung và quay video 4K. 
Pin & Sạc: Pin Li-Ion thời lượng sử dụng rất tốt. Hỗ trợ sạc nhanh 18W và sạc không dây Qi. 
Thiết kế & Bền bỉ: Khung nhôm và mặt lưng kính bóng. Kháng nước, bụi chuẩn IP68 (sâu 2 mét trong 30 phút).","Mẫu iPhone ""quốc dân"" một thời. Hiệu năng vẫn rất mạnh, camera kép chất lượng với chế độ chụp đêm xuất sắc. Pin cực trâu. Điểm trừ là viền màn hình hơi dày và vẫn dùng tấm nền LCD.",Tím,https://cdn2.cellphones.com.vn/358x/media/catalog/product/i/p/iphone11-purple-select-2019_5.png
iPhone,IP11-64-G,iPhone 11 64GB,4GB,64GB,8990000,instock,"Vi xử lý: Chip Apple A13 Bionic với Neural Engine thế hệ thứ 3, mang lại hiệu năng cực kỳ mạnh mẽ, vẫn xử lý mượt mà mọi tác vụ và game nặng. 
Màn hình: Công nghệ Liquid Retina HD (IPS LCD) 6.1 inch, độ phân giải 1792x828 pixels, hỗ trợ True Tone, dải màu rộng (P3). 
Camera: Hệ thống camera kép 12MP gồm camera Góc rộng và Siêu rộng. Có chế độ Ban đêm (Night Mode), Deep Fusion. Quay video 4K ở 60fps. 
Camera trước: TrueDepth 12MP, hỗ trợ Chế độ chân dung và quay video 4K. 
Pin & Sạc: Pin Li-Ion thời lượng sử dụng rất tốt. Hỗ trợ sạc nhanh 18W và sạc không dây Qi. 
Thiết kế & Bền bỉ: Khung nhôm và mặt lưng kính bóng. Kháng nước, bụi chuẩn IP68 (sâu 2 mét trong 30 phút).","Mẫu iPhone ""quốc dân"" một thời. Hiệu năng vẫn rất mạnh, camera kép chất lượng với chế độ chụp đêm xuất sắc. Pin cực trâu. Điểm trừ là viền màn hình hơi dày và vẫn dùng tấm nền LCD.",Xanh lá,https://cdn2.cellphones.com.vn/358x/media/catalog/product/1/1/11._als_s__2.jpg
iPhone,IP11-128-B,iPhone 11 128GB,4GB,128GB,9490000,instock,"Vi xử lý: Chip Apple A13 Bionic với Neural Engine thế hệ thứ 3, mang lại hiệu năng cực kỳ mạnh mẽ, vẫn xử lý mượt mà mọi tác vụ và game nặng. 
Màn hình: Công nghệ Liquid Retina HD (IPS LCD) 6.1 inch, độ phân giải 1792x828 pixels, hỗ trợ True Tone, dải màu rộng (P3). 
Camera: Hệ thống camera kép 12MP gồm camera Góc rộng và Siêu rộng. Có chế độ Ban đêm (Night Mode), Deep Fusion. Quay video 4K ở 60fps. 
Camera trước: TrueDepth 12MP, hỗ trợ Chế độ chân dung và quay video 4K. 
Pin & Sạc: Pin Li-Ion thời lượng sử dụng rất tốt. Hỗ trợ sạc nhanh 18W và sạc không dây Qi. 
Thiết kế & Bền bỉ: Khung nhôm và mặt lưng kính bóng. Kháng nước, bụi chuẩn IP68 (sâu 2 mét trong 30 phút).","Mẫu iPhone ""quốc dân"" một thời. Hiệu năng vẫn rất mạnh, camera kép chất lượng với chế độ chụp đêm xuất sắc. Pin cực trâu. Điểm trừ là viền màn hình hơi dày và vẫn dùng tấm nền LCD.",Đen,https://shopdunk.com/images/thumbs/0012169_black.jpeg
iPhone,IP11-128-W,iPhone 11 128GB,4GB,128GB,9490000,instock,"Vi xử lý: Chip Apple A13 Bionic với Neural Engine thế hệ thứ 3, mang lại hiệu năng cực kỳ mạnh mẽ, vẫn xử lý mượt mà mọi tác vụ và game nặng. 
Màn hình: Công nghệ Liquid Retina HD (IPS LCD) 6.1 inch, độ phân giải 1792x828 pixels, hỗ trợ True Tone, dải màu rộng (P3). 
Camera: Hệ thống camera kép 12MP gồm camera Góc rộng và Siêu rộng. Có chế độ Ban đêm (Night Mode), Deep Fusion. Quay video 4K ở 60fps. 
Camera trước: TrueDepth 12MP, hỗ trợ Chế độ chân dung và quay video 4K. 
Pin & Sạc: Pin Li-Ion thời lượng sử dụng rất tốt. Hỗ trợ sạc nhanh 18W và sạc không dây Qi. 
Thiết kế & Bền bỉ: Khung nhôm và mặt lưng kính bóng. Kháng nước, bụi chuẩn IP68 (sâu 2 mét trong 30 phút).","Mẫu iPhone ""quốc dân"" một thời. Hiệu năng vẫn rất mạnh, camera kép chất lượng với chế độ chụp đêm xuất sắc. Pin cực trâu. Điểm trừ là viền màn hình hơi dày và vẫn dùng tấm nền LCD.",Trắng,https://shopdunk.com/images/thumbs/0012174_white.webp
iPhone,IP11-128-P,iPhone 11 128GB,4GB,128GB,9490000,instock,"Vi xử lý: Chip Apple A13 Bionic với Neural Engine thế hệ thứ 3, mang lại hiệu năng cực kỳ mạnh mẽ, vẫn xử lý mượt mà mọi tác vụ và game nặng. 
Màn hình: Công nghệ Liquid Retina HD (IPS LCD) 6.1 inch, độ phân giải 1792x828 pixels, hỗ trợ True Tone, dải màu rộng (P3). 
Camera: Hệ thống camera kép 12MP gồm camera Góc rộng và Siêu rộng. Có chế độ Ban đêm (Night Mode), Deep Fusion. Quay video 4K ở 60fps. 
Camera trước: TrueDepth 12MP, hỗ trợ Chế độ chân dung và quay video 4K. 
Pin & Sạc: Pin Li-Ion thời lượng sử dụng rất tốt. Hỗ trợ sạc nhanh 18W và sạc không dây Qi. 
Thiết kế & Bền bỉ: Khung nhôm và mặt lưng kính bóng. Kháng nước, bụi chuẩn IP68 (sâu 2 mét trong 30 phút).","Mẫu iPhone ""quốc dân"" một thời. Hiệu năng vẫn rất mạnh, camera kép chất lượng với chế độ chụp đêm xuất sắc. Pin cực trâu. Điểm trừ là viền màn hình hơi dày và vẫn dùng tấm nền LCD.",Tím,https://cdn2.cellphones.com.vn/358x/media/catalog/product/i/p/iphone11-purple-select-2019_5.png
iPhone,IP11-128-G,iPhone 11 128GB,4GB,128GB,9490000,instock,"Vi xử lý: Chip Apple A13 Bionic với Neural Engine thế hệ thứ 3, mang lại hiệu năng cực kỳ mạnh mẽ, vẫn xử lý mượt mà mọi tác vụ và game nặng. 
Màn hình: Công nghệ Liquid Retina HD (IPS LCD) 6.1 inch, độ phân giải 1792x828 pixels, hỗ trợ True Tone, dải màu rộng (P3). 
Camera: Hệ thống camera kép 12MP gồm camera Góc rộng và Siêu rộng. Có chế độ Ban đêm (Night Mode), Deep Fusion. Quay video 4K ở 60fps. 
Camera trước: TrueDepth 12MP, hỗ trợ Chế độ chân dung và quay video 4K. 
Pin & Sạc: Pin Li-Ion thời lượng sử dụng rất tốt. Hỗ trợ sạc nhanh 18W và sạc không dây Qi. 
Thiết kế & Bền bỉ: Khung nhôm và mặt lưng kính bóng. Kháng nước, bụi chuẩn IP68 (sâu 2 mét trong 30 phút).","Mẫu iPhone ""quốc dân"" một thời. Hiệu năng vẫn rất mạnh, camera kép chất lượng với chế độ chụp đêm xuất sắc. Pin cực trâu. Điểm trừ là viền màn hình hơi dày và vẫn dùng tấm nền LCD.",Xanh lá,https://cdn2.cellphones.com.vn/358x/media/catalog/product/1/1/11._als_s__2.jpg
iPhone,IP11-256-B,iPhone 11 256GB,4GB,256GB,10490000,instock,"Vi xử lý: Chip Apple A13 Bionic với Neural Engine thế hệ thứ 3, mang lại hiệu năng cực kỳ mạnh mẽ, vẫn xử lý mượt mà mọi tác vụ và game nặng. 
Màn hình: Công nghệ Liquid Retina HD (IPS LCD) 6.1 inch, độ phân giải 1792x828 pixels, hỗ trợ True Tone, dải màu rộng (P3). 
Camera: Hệ thống camera kép 12MP gồm camera Góc rộng và Siêu rộng. Có chế độ Ban đêm (Night Mode), Deep Fusion. Quay video 4K ở 60fps. 
Camera trước: TrueDepth 12MP, hỗ trợ Chế độ chân dung và quay video 4K. 
Pin & Sạc: Pin Li-Ion thời lượng sử dụng rất tốt. Hỗ trợ sạc nhanh 18W và sạc không dây Qi. 
Thiết kế & Bền bỉ: Khung nhôm và mặt lưng kính bóng. Kháng nước, bụi chuẩn IP68 (sâu 2 mét trong 30 phút).","Mẫu iPhone ""quốc dân"" một thời. Hiệu năng vẫn rất mạnh, camera kép chất lượng với chế độ chụp đêm xuất sắc. Pin cực trâu. Điểm trừ là viền màn hình hơi dày và vẫn dùng tấm nền LCD.",Đen,https://shopdunk.com/images/thumbs/0012169_black.jpeg
iPhone,IP11-256-W,iPhone 11 256GB,4GB,256GB,10490000,instock,"Vi xử lý: Chip Apple A13 Bionic với Neural Engine thế hệ thứ 3, mang lại hiệu năng cực kỳ mạnh mẽ, vẫn xử lý mượt mà mọi tác vụ và game nặng. 
Màn hình: Công nghệ Liquid Retina HD (IPS LCD) 6.1 inch, độ phân giải 1792x828 pixels, hỗ trợ True Tone, dải màu rộng (P3). 
Camera: Hệ thống camera kép 12MP gồm camera Góc rộng và Siêu rộng. Có chế độ Ban đêm (Night Mode), Deep Fusion. Quay video 4K ở 60fps. 
Camera trước: TrueDepth 12MP, hỗ trợ Chế độ chân dung và quay video 4K. 
Pin & Sạc: Pin Li-Ion thời lượng sử dụng rất tốt. Hỗ trợ sạc nhanh 18W và sạc không dây Qi. 
Thiết kế & Bền bỉ: Khung nhôm và mặt lưng kính bóng. Kháng nước, bụi chuẩn IP68 (sâu 2 mét trong 30 phút).","Mẫu iPhone ""quốc dân"" một thời. Hiệu năng vẫn rất mạnh, camera kép chất lượng với chế độ chụp đêm xuất sắc. Pin cực trâu. Điểm trừ là viền màn hình hơi dày và vẫn dùng tấm nền LCD.",Trắng,https://shopdunk.com/images/thumbs/0012174_white.webp
iPhone,IP11-256-P,iPhone 11 256GB,4GB,256GB,10490000,instock,"Vi xử lý: Chip Apple A13 Bionic với Neural Engine thế hệ thứ 3, mang lại hiệu năng cực kỳ mạnh mẽ, vẫn xử lý mượt mà mọi tác vụ và game nặng. 
Màn hình: Công nghệ Liquid Retina HD (IPS LCD) 6.1 inch, độ phân giải 1792x828 pixels, hỗ trợ True Tone, dải màu rộng (P3). 
Camera: Hệ thống camera kép 12MP gồm camera Góc rộng và Siêu rộng. Có chế độ Ban đêm (Night Mode), Deep Fusion. Quay video 4K ở 60fps. 
Camera trước: TrueDepth 12MP, hỗ trợ Chế độ chân dung và quay video 4K. 
Pin & Sạc: Pin Li-Ion thời lượng sử dụng rất tốt. Hỗ trợ sạc nhanh 18W và sạc không dây Qi. 
Thiết kế & Bền bỉ: Khung nhôm và mặt lưng kính bóng. Kháng nước, bụi chuẩn IP68 (sâu 2 mét trong 30 phút).","Mẫu iPhone ""quốc dân"" một thời. Hiệu năng vẫn rất mạnh, camera kép chất lượng với chế độ chụp đêm xuất sắc. Pin cực trâu. Điểm trừ là viền màn hình hơi dày và vẫn dùng tấm nền LCD.",Tím,https://cdn2.cellphones.com.vn/358x/media/catalog/product/i/p/iphone11-purple-select-2019_5.png
